startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,userLanguage,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Trustworthy,Hypocritical,Like,Honest,Good,Random ID,Condition
10/25/2018 23:02,10/25/2018 23:02,Survey Preview,,100,57,TRUE,10/25/2018 23:02,R_SVtH7hCyKDfkF3j,,,,,37.40559387,-122.0774994,preview,EN,,,,,,,,,,,,,,,,,,,,,14,79,29,,24,,,,,,,,,,,22,79,19,19,53,,,,,,,,,,,,,,,,,,,,,5871,Honest_hyp
10/28/2018 19:06,10/28/2018 19:08,IP Address,108.211.108.152,100,138,TRUE,10/28/2018 19:08,R_WoFgmcrEgsGmXkJ,,,,,37.40559387,-122.0774994,anonymous,EN,0,100,0,0,0,3,91,1,2,1,18,67,19,19,19,15,63,9,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8601,Trad_hyp
10/28/2018 19:10,10/28/2018 19:11,Survey Preview,,100,80,TRUE,10/28/2018 19:11,R_3KUTOZycCPcCrZM,,,,,37.40559387,-122.0774994,preview,EN,0,97,0,0,0,5,100,1,0,7,0,100,0,0,14,3,98,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2388,Trad_hyp
10/28/2018 19:11,10/28/2018 19:12,Survey Preview,,100,47,TRUE,10/28/2018 19:12,R_p4N9XI9SXysHNzX,,,,,37.40559387,-122.0774994,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,32,28,29,30,37,39,39,40,39,22,23,24,22,22,20,19,18,20,21,6163,Control
10/28/2018 19:12,10/28/2018 19:14,Survey Preview,,100,95,TRUE,10/28/2018 19:14,R_DN2DkKdsndr5fDb,,,,,37.40559387,-122.0774994,preview,EN,,,,,,,,,,,,,,,,,,,,,16,70,18,14,18,17,63,30,21,37,30,59,39,30,16,33,66,20,36,28,,,,,,,,,,,,,,,,,,,,,8340,Honest_hyp
10/28/2018 20:34,10/28/2018 20:35,Survey Preview,,100,52,TRUE,10/28/2018 20:35,R_21gZKPJ5vWJQxdD,,,,,37.40559387,-122.0774994,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3685,Honest_hyp
